BasicCIntegerField#getValue(Address):::The field must be nonstatic and of integer type, or a       WrongTypeException will be thrown.:::return->getCInteger
BasicCIntegerField#getValue():::The field must be static and of integer type, or a       WrongTypeException will be thrown.:::return->getCInteger
BasicCIntegerType#setIsUnsigned(boolean):::This should be called at most once, and only by the builder of       the TypeDataBase:::
BasicJBooleanField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java boolean, or a WrongTypeException will be thrown.:::return->getJBoolean
BasicJBooleanField#getValue():::The field must be static and the type of the field must be a       Java boolean, or a WrongTypeException will be thrown.:::return->getJBoolean
BasicJByteField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java byte, or a WrongTypeException will be thrown.:::return->getJByte
BasicJByteField#getValue():::The field must be static and the type of the field must be a       Java byte, or a WrongTypeException will be thrown.:::return->getJByte
BasicJCharField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java char, or a WrongTypeException will be thrown.:::return->getJChar
BasicJCharField#getValue():::The field must be static and the type of the field must be a       Java char, or a WrongTypeException will be thrown.:::return->getJChar
BasicJDoubleField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java double, or a WrongTypeException will be thrown.:::return->getJDouble
BasicJDoubleField#getValue():::The field must be static and the type of the field must be a       Java double, or a WrongTypeException will be thrown.:::return->getJDouble
BasicJFloatField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java float, or a WrongTypeException will be thrown.:::return->getJFloat
BasicJFloatField#getValue():::The field must be static and the type of the field must be a       Java float, or a WrongTypeException will be thrown.:::return->getJFloat
BasicJIntField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java int, or a WrongTypeException will be thrown.:::return->getJInt
BasicJIntField#getValue():::The field must be static and the type of the field must be a       Java int, or a WrongTypeException will be thrown.:::return->getJInt
BasicJLongField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java long, or a WrongTypeException will be thrown.:::return->getJLong
BasicJLongField#getValue():::The field must be static and the type of the field must be a       Java long, or a WrongTypeException will be thrown.:::return->getJLong
BasicJShortField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java short, or a WrongTypeException will be thrown.:::return->getJShort
BasicJShortField#getValue():::The field must be static and the type of the field must be a       Java short, or a WrongTypeException will be thrown.:::return->getJShort
BasicNarrowOopField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java oop, or a WrongTypeException will be thrown.:::return->getNarrowOopHandle
BasicNarrowOopField#getValue():::The field must be static and the type of the field must be a       Java oop, or a WrongTypeException will be thrown.:::return->getNarrowOopHandle
BasicOopField#getValue(Address):::The field must be nonstatic and the type of the field must be a       Java oop, or a WrongTypeException will be thrown.:::return->getOopHandle
BasicOopField#getValue():::The field must be static and the type of the field must be a       Java oop, or a WrongTypeException will be thrown.:::return->getOopHandle
BasicType#setSuperclass(Type):::This should only be called at most once, and only by the builder       of the type database:::
BasicType#setSize(long):::This should only be called at most once, and only by the builder       of the type database:::
BasicType#isCIntegerType():::Overridden by BasicCIntegerType:::return
