AbstractAnnotationValueVisitor6#visit(AnnotationValue, P):::Visits any annotation value as if by passing itself to that value's AnnotationValue#accept accept:::return->av->accept
AbstractAnnotationValueVisitor6#visit(AnnotationValue):::Visits an annotation value as if by passing itself to that value's AnnotationValue#accept accept method passing null for the additional parameter:::return->av->accept
AbstractAnnotationValueVisitor6#visitUnknown(AnnotationValue, P)::: abstract annotation value visitor6 visit unknown:::throw->new->UnknownAnnotationValueException
AbstractElementVisitor6#visit(Element, P):::Visits any program element as if by passing itself to that element's Element#accept accept method:::return->e->accept
AbstractElementVisitor6#visit(Element):::Visits any program element as if by passing itself to that element's Element#accept accept method and passing null for the additional parameter:::return->e->accept
AbstractElementVisitor6#visitUnknown(Element, P)::: abstract element visitor6 visit unknown:::throw->new->UnknownElementException
AbstractElementVisitor6#visitModule(ModuleElement, P)::: abstract element visitor6 visit module:::return->ElementVisitor.super->visitModule
AbstractElementVisitor9#visitModule(ModuleElement, P)::: abstract element visitor9 visit module:::
AbstractTypeVisitor6#visit(TypeMirror, P):::Visits any type mirror as if by passing itself to that type mirror's TypeMirror#accept accept method:::return->t->accept
AbstractTypeVisitor6#visit(TypeMirror):::Visits any type mirror as if by passing itself to that type mirror's TypeMirror#accept accept method and passing null for the additional parameter:::return->t->accept
AbstractTypeVisitor6#visitUnion(UnionType, P)::: abstract type visitor6 visit union:::return->visitUnknown
AbstractTypeVisitor6#visitIntersection(IntersectionType, P)::: abstract type visitor6 visit intersection:::return->visitUnknown
AbstractTypeVisitor6#visitUnknown(TypeMirror, P)::: abstract type visitor6 visit unknown:::throw->new->UnknownTypeException
AbstractTypeVisitor7#visitUnion(UnionType, P):::Visits a UnionType in a manner defined by a subclass.:::
AbstractTypeVisitor8#visitIntersection(IntersectionType, P):::Visits an IntersectionType in a manner defined by a subclass.:::
ElementFilter#fieldsIn(Iterable):::Returns a list of fields in elements.:::return->listFilter
ElementFilter#fieldsIn(Set):::Returns a set of fields in elements.:::return->setFilter
ElementFilter#constructorsIn(Iterable):::Returns a list of constructors in elements.:::return->listFilter
ElementFilter#constructorsIn(Set):::Returns a set of constructors in elements.:::return->setFilter
ElementFilter#methodsIn(Iterable):::Returns a list of methods in elements.:::return->listFilter
ElementFilter#methodsIn(Set):::Returns a set of methods in elements.:::return->setFilter
ElementFilter#typesIn(Iterable):::Returns a list of types in elements.:::return->listFilter
ElementFilter#typesIn(Set):::Returns a set of types in elements.:::return->setFilter
ElementFilter#packagesIn(Iterable):::Returns a list of packages in elements.:::return->listFilter
ElementFilter#packagesIn(Set):::Returns a set of packages in elements.:::return->setFilter
ElementFilter#modulesIn(Iterable):::Returns a list of modules in elements.:::return->listFilter
ElementFilter#modulesIn(Set):::Returns a set of modules in elements.:::return->setFilter
ElementFilter#listFilter(Iterable, Set, Class)::: element filter list filter:::list->new->ArrayList<>->foreach->if->targetKinds->e->getKind->contains->list->clazz->cast->add->return
ElementFilter#setFilter(Set, Set, Class)::: element filter set filter:::set->new->LinkedHashSet<>->foreach->if->targetKinds->e->getKind->contains->set->clazz->cast->add->return
ElementFilter#exportsIn(Iterable):::Returns a list of exports directives in directives.:::return->listFilter
ElementFilter#opensIn(Iterable):::Returns a list of opens directives in directives.:::return->listFilter
ElementFilter#providesIn(Iterable):::Returns a list of provides directives in directives.:::return->listFilter
ElementFilter#requiresIn(Iterable):::Returns a list of requires directives in directives.:::return->listFilter
ElementFilter#usesIn(Iterable):::Returns a list of uses directives in directives.:::return->listFilter
ElementFilter#listFilter(Iterable, DirectiveKind, Class)::: element filter list filter:::list->new->ArrayList<>->foreach->if->d->getKind->list->clazz->cast->add->return
ElementKindVisitor6#visitPackage(PackageElement, P):::The element argument has kind {@code PACKAGE.:::return->defaultAction
ElementKindVisitor6#visitType(TypeElement, P)::: element kind visitor6 visit type:::k->e->getKind->switch->return->visitTypeAsAnnotationType->return->visitTypeAsClass->return->visitTypeAsEnum->return->visitTypeAsInterface->throw->new->AssertionError
ElementKindVisitor6#visitTypeAsAnnotationType(TypeElement, P):::Visits an ANNOTATION_TYPE type element.:::return->defaultAction
ElementKindVisitor6#visitTypeAsClass(TypeElement, P):::Visits a CLASS type element.:::return->defaultAction
ElementKindVisitor6#visitTypeAsEnum(TypeElement, P):::Visits an ENUM type element.:::return->defaultAction
ElementKindVisitor6#visitTypeAsInterface(TypeElement, P):::Visits an INTERFACE type element.:::return->defaultAction
ElementKindVisitor6#visitVariable(VariableElement, P):::Visits a variable element:::k->e->getKind->switch->return->visitVariableAsEnumConstant->return->visitVariableAsExceptionParameter->return->visitVariableAsField->return->visitVariableAsLocalVariable->return->visitVariableAsParameter->return->visitVariableAsResourceVariable->throw->new->AssertionError
ElementKindVisitor6#visitVariableAsEnumConstant(VariableElement, P):::Visits an ENUM_CONSTANT variable element.:::return->defaultAction
ElementKindVisitor6#visitVariableAsExceptionParameter(VariableElement, P):::Visits an EXCEPTION_PARAMETER variable element.:::return->defaultAction
ElementKindVisitor6#visitVariableAsField(VariableElement, P):::Visits a FIELD variable element.:::return->defaultAction
ElementKindVisitor6#visitVariableAsLocalVariable(VariableElement, P):::Visits a LOCAL_VARIABLE variable element.:::return->defaultAction
ElementKindVisitor6#visitVariableAsParameter(VariableElement, P):::Visits a PARAMETER variable element.:::return->defaultAction
ElementKindVisitor6#visitVariableAsResourceVariable(VariableElement, P):::Visits a RESOURCE_VARIABLE variable element.:::return->visitUnknown
ElementKindVisitor6#visitExecutable(ExecutableElement, P)::: element kind visitor6 visit executable:::k->e->getKind->switch->return->visitExecutableAsConstructor->return->visitExecutableAsInstanceInit->return->visitExecutableAsMethod->return->visitExecutableAsStaticInit->throw->new->AssertionError
ElementKindVisitor6#visitExecutableAsConstructor(ExecutableElement, P):::Visits a CONSTRUCTOR executable element.:::return->defaultAction
ElementKindVisitor6#visitExecutableAsInstanceInit(ExecutableElement, P):::Visits an INSTANCE_INIT executable element.:::return->defaultAction
ElementKindVisitor6#visitExecutableAsMethod(ExecutableElement, P):::Visits a METHOD executable element.:::return->defaultAction
ElementKindVisitor6#visitExecutableAsStaticInit(ExecutableElement, P):::Visits a STATIC_INIT executable element.:::return->defaultAction
ElementKindVisitor6#visitTypeParameter(TypeParameterElement, P):::The element argument has kind {@code TYPE_PARAMETER.:::return->defaultAction
ElementKindVisitor7#visitVariableAsResourceVariable(VariableElement, P)::: element kind visitor7 visit variable as resource variable:::return->defaultAction
ElementKindVisitor9#visitModule(ModuleElement, P)::: element kind visitor9 visit module:::return->defaultAction
Elements#getPackageElement(CharSequence):::Returns a package given its fully qualified name if the package is unique in the environment:::
Elements#getPackageElement(ModuleElement, CharSequence):::Returns a package given its fully qualified name, as seen from the given module.:::return
Elements#getAllPackageElements(CharSequence):::Returns all package elements with the given canonical name:::modules->getAllModuleElements->if->modules->isEmpty->packageElt->getPackageElement->return->Collections->singleton->Collections->emptySet->else->result->new->LinkedHashSet<>->foreach->packageElt->getPackageElement->if->result->add->return->Collections->unmodifiableSet
