com.sun.tools.javac.resources.compiler#getContents()->Object[][]:::compiler get contents
com.sun.tools.javac.resources.CompilerProperties.Notes#DeferredMethodInst(Symbol, Type, Type)->Note:::compiler.note.deferred.method.inst=\    Deferred instantiation of method {0}\n\    instantiated signature: {1}\n\    target-type: {2}
com.sun.tools.javac.resources.CompilerProperties.Notes#DeprecatedFilename(File)->Note:::compiler.note.deprecated.filename=\    {0} uses or overrides a deprecated API.
com.sun.tools.javac.resources.CompilerProperties.Notes#DeprecatedFilename(JavaFileObject)->Note:::compiler.note.deprecated.filename=\    {0} uses or overrides a deprecated API.
com.sun.tools.javac.resources.CompilerProperties.Notes#DeprecatedFilename(Path)->Note:::compiler.note.deprecated.filename=\    {0} uses or overrides a deprecated API.
com.sun.tools.javac.resources.CompilerProperties.Notes#DeprecatedFilenameAdditional(File)->Note:::compiler.note.deprecated.filename.additional=\    {0} has additional uses or overrides of a deprecated API.
com.sun.tools.javac.resources.CompilerProperties.Notes#DeprecatedFilenameAdditional(JavaFileObject)->Note:::compiler.note.deprecated.filename.additional=\    {0} has additional uses or overrides of a deprecated API.
com.sun.tools.javac.resources.CompilerProperties.Notes#DeprecatedFilenameAdditional(Path)->Note:::compiler.note.deprecated.filename.additional=\    {0} has additional uses or overrides of a deprecated API.
com.sun.tools.javac.resources.CompilerProperties.Notes#LambdaStat(boolean, Symbol)->Note:::compiler.note.lambda.stat=\    Translating lambda expression\n\    alternate metafactory = {0}\n\    synthetic method = {1}
com.sun.tools.javac.resources.CompilerProperties.Notes#MrefStat(boolean, Void)->Note:::compiler.note.mref.stat=\    Translating method reference\n\    alternate metafactory = {0}\n\
com.sun.tools.javac.resources.CompilerProperties.Notes#MrefStat1(boolean, Symbol)->Note:::compiler.note.mref.stat.1=\    Translating method reference\n\    alternate metafactory = {0}\n\    bridge method = {1}
com.sun.tools.javac.resources.CompilerProperties.Notes#MultipleElements(String, String, String)->Note:::compiler.note.multiple.elements=\    Multiple elements named ''{1}'' in modules ''{2}'' were found by javax.lang.model.util.Elements.{0}.
com.sun.tools.javac.resources.CompilerProperties.Notes#PreviewFilename(File)->Note:::compiler.note.preview.filename=\    {0} uses preview language features.
com.sun.tools.javac.resources.CompilerProperties.Notes#PreviewFilename(JavaFileObject)->Note:::compiler.note.preview.filename=\    {0} uses preview language features.
com.sun.tools.javac.resources.CompilerProperties.Notes#PreviewFilename(Path)->Note:::compiler.note.preview.filename=\    {0} uses preview language features.
com.sun.tools.javac.resources.CompilerProperties.Notes#PreviewFilenameAdditional(File)->Note:::compiler.note.preview.filename.additional=\    {0} has additional uses of preview language features.
