CalendarData_ar#getContents()::: calendar data_ar get contents:::return->new->ObjectArrs
CalendarData_be#getContents()::: calendar data_be get contents:::return->new->ObjectArrs
CalendarData_bg#getContents()::: calendar data_bg get contents:::return->new->ObjectArrs
CalendarData_ca#getContents()::: calendar data_ca get contents:::return->new->ObjectArrs
CalendarData_cs#getContents()::: calendar data_cs get contents:::return->new->ObjectArrs
CalendarData_da#getContents()::: calendar data_da get contents:::return->new->ObjectArrs
CalendarData_de#getContents()::: calendar data_de get contents:::return->new->ObjectArrs
CalendarData_el#getContents()::: calendar data_el get contents:::return->new->ObjectArrs
CalendarData_el_CY#getContents()::: calendar data_el_ y get contents:::return->new->ObjectArrs
CalendarData_en_GB#getContents()::: calendar data_en_ b get contents:::return->new->ObjectArrs
CalendarData_en_IE#getContents()::: calendar data_en_ e get contents:::return->new->ObjectArrs
CalendarData_en_MT#getContents()::: calendar data_en_ t get contents:::return->new->ObjectArrs
CalendarData_es#getContents()::: calendar data_es get contents:::return->new->ObjectArrs
CalendarData_es_ES#getContents()::: calendar data_es_ s get contents:::return->new->ObjectArrs
CalendarData_es_US#getContents()::: calendar data_es_ s get contents:::return->new->ObjectArrs
CalendarData_et#getContents()::: calendar data_et get contents:::return->new->ObjectArrs
CalendarData_fi#getContents()::: calendar data_fi get contents:::return->new->ObjectArrs
CalendarData_fr#getContents()::: calendar data_fr get contents:::return->new->ObjectArrs
CalendarData_fr_CA#getContents()::: calendar data_fr_ a get contents:::return->new->ObjectArrs
CalendarData_hi#getContents()::: calendar data_hi get contents:::return->new->ObjectArrs
CalendarData_hr#getContents()::: calendar data_hr get contents:::return->new->ObjectArrs
CalendarData_hu#getContents()::: calendar data_hu get contents:::return->new->ObjectArrs
CalendarData_in_ID#getContents()::: calendar data_in_ d get contents:::return->new->ObjectArrs
CalendarData_is#getContents()::: calendar data_is get contents:::return->new->ObjectArrs
CalendarData_it#getContents()::: calendar data_it get contents:::return->new->ObjectArrs
CalendarData_iw#getContents()::: calendar data_iw get contents:::return->new->ObjectArrs
CalendarData_ja#getContents()::: calendar data_ja get contents:::return->new->ObjectArrs
CalendarData_ko#getContents()::: calendar data_ko get contents:::return->new->ObjectArrs
CalendarData_lt#getContents()::: calendar data_lt get contents:::return->new->ObjectArrs
CalendarData_lv#getContents()::: calendar data_lv get contents:::return->new->ObjectArrs
CalendarData_mk#getContents()::: calendar data_mk get contents:::return->new->ObjectArrs
CalendarData_ms_MY#getContents()::: calendar data_ms_ y get contents:::return->new->ObjectArrs
CalendarData_mt#getContents()::: calendar data_mt get contents:::return->new->ObjectArrs
CalendarData_mt_MT#getContents()::: calendar data_mt_ t get contents:::return->new->ObjectArrs
CalendarData_nl#getContents()::: calendar data_nl get contents:::return->new->ObjectArrs
CalendarData_no#getContents()::: calendar data_no get contents:::return->new->ObjectArrs
CalendarData_pl#getContents()::: calendar data_pl get contents:::return->new->ObjectArrs
CalendarData_pt#getContents()::: calendar data_pt get contents:::return->new->ObjectArrs
CalendarData_pt_BR#getContents()::: calendar data_pt_ r get contents:::return->new->ObjectArrs
CalendarData_pt_PT#getContents()::: calendar data_pt_ t get contents:::return->new->ObjectArrs
CalendarData_ro#getContents()::: calendar data_ro get contents:::return->new->ObjectArrs
CalendarData_ru#getContents()::: calendar data_ru get contents:::return->new->ObjectArrs
CalendarData_sk#getContents()::: calendar data_sk get contents:::return->new->ObjectArrs
CalendarData_sl#getContents()::: calendar data_sl get contents:::return->new->ObjectArrs
CalendarData_sq#getContents()::: calendar data_sq get contents:::return->new->ObjectArrs
CalendarData_sr#getContents()::: calendar data_sr get contents:::return->new->ObjectArrs
CalendarData_sr_Latn_BA#getContents()::: calendar data_sr_ latn_ a get contents:::return->new->ObjectArrs
CalendarData_sr_Latn_ME#getContents()::: calendar data_sr_ latn_ e get contents:::return->new->ObjectArrs
CalendarData_sr_Latn_RS#getContents()::: calendar data_sr_ latn_ s get contents:::return->new->ObjectArrs
CalendarData_sv#getContents()::: calendar data_sv get contents:::return->new->ObjectArrs
CalendarData_th#getContents()::: calendar data_th get contents:::return->new->ObjectArrs
CalendarData_tr#getContents()::: calendar data_tr get contents:::return->new->ObjectArrs
CalendarData_uk#getContents()::: calendar data_uk get contents:::return->new->ObjectArrs
CalendarData_vi#getContents()::: calendar data_vi get contents:::return->new->ObjectArrs
CalendarData_zh#getContents()::: calendar data_zh get contents:::return->new->ObjectArrs
CurrencyNames_ar_AE#getContents()::: currency names_ar_ e get contents:::return->new->ObjectArrs
CurrencyNames_ar_BH#getContents()::: currency names_ar_ h get contents:::return->new->ObjectArrs
CurrencyNames_ar_DZ#getContents()::: currency names_ar_ z get contents:::return->new->ObjectArrs
CurrencyNames_ar_EG#getContents()::: currency names_ar_ g get contents:::return->new->ObjectArrs
CurrencyNames_ar_IQ#getContents()::: currency names_ar_ q get contents:::return->new->ObjectArrs
CurrencyNames_ar_JO#getContents()::: currency names_ar_ o get contents:::return->new->ObjectArrs
CurrencyNames_ar_KW#getContents()::: currency names_ar_ w get contents:::return->new->ObjectArrs
CurrencyNames_ar_LB#getContents()::: currency names_ar_ b get contents:::return->new->ObjectArrs
CurrencyNames_ar_LY#getContents()::: currency names_ar_ y get contents:::return->new->ObjectArrs
CurrencyNames_ar_MA#getContents()::: currency names_ar_ a get contents:::return->new->ObjectArrs
CurrencyNames_ar_OM#getContents()::: currency names_ar_ m get contents:::return->new->ObjectArrs
CurrencyNames_ar_QA#getContents()::: currency names_ar_ a get contents:::return->new->ObjectArrs
CurrencyNames_ar_SA#getContents()::: currency names_ar_ a get contents:::return->new->ObjectArrs
CurrencyNames_ar_SD#getContents()::: currency names_ar_ d get contents:::return->new->ObjectArrs
CurrencyNames_ar_SY#getContents()::: currency names_ar_ y get contents:::return->new->ObjectArrs
CurrencyNames_ar_TN#getContents()::: currency names_ar_ n get contents:::return->new->ObjectArrs
CurrencyNames_ar_YE#getContents()::: currency names_ar_ e get contents:::return->new->ObjectArrs
CurrencyNames_be_BY#getContents()::: currency names_be_ y get contents:::return->new->ObjectArrs
CurrencyNames_bg_BG#getContents()::: currency names_bg_ g get contents:::return->new->ObjectArrs
CurrencyNames_ca_ES#getContents()::: currency names_ca_ s get contents:::return->new->ObjectArrs
CurrencyNames_cs_CZ#getContents()::: currency names_cs_ z get contents:::return->new->ObjectArrs
CurrencyNames_da_DK#getContents()::: currency names_da_ k get contents:::return->new->ObjectArrs
